graph_type,cap_type,n,d,hi,seed,m,median_time,flow,graph_file
grid,unit,500,500,1023,1,895,0.00008770000000000,2,grid_n500_rows5_n500_hi1023_seed1.max
grid,unit,500,500,1023,2,895,0.00012870000000000,2,grid_n500_rows5_n500_hi1023_seed2.max
grid,unit,1000,1000,1023,0,1795,0.00025520000000000,2,grid_n1000_rows5_n1000_hi1023_seed0.max
grid,unit,1000,1000,1023,1,1795,0.00021540000000000,2,grid_n1000_rows5_n1000_hi1023_seed1.max
grid,unit,1000,1000,1023,2,1795,0.00016950000000000,2,grid_n1000_rows5_n1000_hi1023_seed2.max
grid,unit,2000,2000,1023,0,3595,0.00052960000000000,2,grid_n2000_rows5_n2000_hi1023_seed0.max
grid,unit,2000,2000,1023,1,3595,0.00042190000000000,2,grid_n2000_rows5_n2000_hi1023_seed1.max
grid,unit,2000,2000,1023,2,3595,0.00037940000000000,2,grid_n2000_rows5_n2000_hi1023_seed2.max
grid,unit,4000,4000,1023,0,7195,0.00081650000000000,2,grid_n4000_rows5_n4000_hi1023_seed0.max
grid,unit,4000,4000,1023,1,7195,0.00083380000000000,2,grid_n4000_rows5_n4000_hi1023_seed1.max
grid,unit,4000,4000,1023,2,7195,0.00078810000000000,2,grid_n4000_rows5_n4000_hi1023_seed2.max
layered,int,1000,4,255,0,5634,0.00083260000000000,1141,layered_n1000_d4_hi255_seed0.max
layered,int,1000,4,255,1,5660,0.00095720000000000,1141,layered_n1000_d4_hi255_seed1.max
layered,int,1000,4,255,2,5643,0.00092700000000000,1088,layered_n1000_d4_hi255_seed2.max
